duplicate_title,duplicate_db,original_title,original_db,reason
Ultra long peripheral catheter versus accelerated Seldinger technique long peripheral catheter in difficult intravenous access patients (ULAST): a pragmatic randomised controlled trial protocol,Embase,Ultra long peripheral catheter versus accelerated Seldinger technique long peripheral catheter in difficult intravenous access patients (ULAST): a pragmatic randomised controlled trial protocol.,PubMed,DOI match: 10.1136/bmjopen-2025-106079
The use of paramedics to establish an in-hospital ultrasound-guided peripheral intravenous access program,Embase,The use of paramedics to establish an in-hospital ultrasound-guided peripheral intravenous access program.,PubMed,DOI match: 10.1177/11297298251333494
Puncture site versus exit site in central venous access procedures: Still a source of confusion,Embase,Puncture site versus exit site in central venous access procedures: Still a source of confusion.,PubMed,DOI match: 10.1177/11297298251338968
Prediction of failure risk on the first attempt of peripheral puncture: Secondary analysis of the SPECTRA control group,Embase,Prediction of failure risk on the first attempt of peripheral puncture: Secondary analysis of the SPECTRA control group.,PubMed,DOI match: 10.1177/11297298251378615
Standardised procedure for pacemaker axillary vein puncture,Embase,Standardised procedure for pacemaker axillary vein puncture.,PubMed,DOI match: 10.1186/s12872-025-04731-7
Anticipating impending peripheral intravenous catheter failure: A diagnostic accuracy observational study combining ultrasound and artificial intelligence to improve clinical care,Embase,Anticipating impending peripheral intravenous catheter failure: A diagnostic accuracy observational study combining ultrasound and artificial intelligence to improve clinical care.,PubMed,DOI match: 10.1177/11297298241307055
Midline catheter insertion as a strategic component of intravenous infusion: A single-centre retrospective analysis,Embase,Midline catheter insertion as a strategic component of intravenous infusion: A single-centre retrospective analysis.,PubMed,DOI match: 10.1177/11297298251316956
A retrospective cohort study on the use of ultrasound in establishing peripheral intravenous access in emergency patients with difficult veins,Embase,A retrospective cohort study on the use of ultrasound in establishing peripheral intravenous access in emergency patients with difficult veins.,PubMed,DOI match: 10.1097/md.0000000000044348
Insertion-related complications after central venous catheterization in onco-hematologic children: A prospective clinical study,Embase,Insertion-related complications after central venous catheterization in onco-hematologic children: A prospective clinical study.,PubMed,DOI match: 10.1007/s00431-025-06452-7
ULTRASOUND-GUIDED VS LANDMARK PERIPHERAL IV CANNULATION IN THE PEDIATRIC ED: A RANDOMIZED CONTROLLED TRIAL,Embase,ULTRASOUND-GUIDED VS LANDMARK PERIPHERAL IV CANNULATION IN THE PEDIATRIC ED: a RANDOMIZED CONTROLLED TRIAL,Cochrane,DOI match: 10.70034/ijmedph.2025.4.336
Optimal catheter-to-vein ratios to prevent peripheral venous catheter failure: a single-centre prospective cohort study,Embase,Optimal catheter-to-vein ratios to prevent peripheral venous catheter failure: a single-centre prospective cohort study.,PubMed,DOI match: 10.1016/j.bja.2025.06.037
Role of ultrasound imaging of subclavian vein to confirm correct placement of the peripheral intravenous cannula to avoid extravasation in an edematous patient,Embase,Role of ultrasound imaging of subclavian vein to confirm correct placement of the peripheral intravenous cannula to avoid extravasation in an edematous patient.,PubMed,DOI match: 10.4103/joacp.joacp_406_24
Feasibility of Bedside Ultrasound-Guided Peripherally Inserted Central Catheter Placement in Cancer Patients in Palliative Care: A Single-Center Retrospective Study,Embase,Feasibility of Bedside Ultrasound-Guided Peripherally Inserted Central Catheter Placement in Cancer Patients in Palliative Care: A Single-Center Retrospective Study.,PubMed,DOI match: 10.3390/medicina61101876
"Comparison of peripheral cannula outcomes, ultrasound-guided placement of deep veins versus blind insertion of superficial veins in children aged 0–18 years: A retrospective study",Embase,"Comparison of peripheral cannula outcomes, ultrasound-guided placement of deep veins versus blind insertion of superficial veins in children aged 0-18 years: A retrospective study.",PubMed,DOI match: 10.1177/11297298241282369
245 Comparison of Single-Lumen Midline Catheters to Long Peripheral Intravenous Lines in the Emergency Department: A Randomized Controlled Trial,Embase,Comparison of Single-Lumen Midline Catheters to Long Peripheral Intravenous Lines in the Emergency Department: a Randomized Controlled Trial,Cochrane,Title similarity (0.95): '245 Comparison of Single-Lumen Midline Catheters to Long Per...'
Risk factors of difficult intravenous access and catheter failure in the urology ward: A prospective observational study,Embase,Risk factors of difficult intravenous access and catheter failure in the urology ward: A prospective observational study.,PubMed,DOI match: 10.1177/11297298241278772
Ultrasonography-Observed Subcutaneous Edema Immediately After Peripheral Intravenous Catheter Placement Is a Factor in Subsequent Catheter Failure,Embase,Ultrasonography-Observed Subcutaneous Edema Immediately After Peripheral Intravenous Catheter Placement Is a Factor in Subsequent Catheter Failure.,PubMed,DOI match: 10.1097/nan.0000000000000595
Systematic application of SICA-PED protocol for central venous catheterization in neonates: A prospective clinical study on 104 cases,Embase,Systematic application of SICA-PED protocol for central venous catheterization in neonates: A prospective clinical study on 104 cases.,PubMed,DOI match: 10.1177/11297298241239998
Poland’s first vascular access team 3-year analysis: Insights and learnings,Embase,Poland's first vascular access team 3-year analysis: Insights and learnings.,PubMed,DOI match: 10.1177/11297298241251502
"Totally implanted central venous access devices inserted by the femoral route: A narrative review and the proposal of a novel approach, the FICC-port",Embase,"Totally implanted central venous access devices inserted by the femoral route: A narrative review and the proposal of a novel approach, the FICC-port.",PubMed,DOI match: 10.1177/11297298241236816
Required volume for color flow injection test to confirm the intravascular placement of a peripheral venous catheter,Embase,Required volume for color flow injection test to confirm the intravascular placement of a peripheral venous catheter.,PubMed,DOI match: 10.1177/11297298241258625
Comparison of Single-Lumen Midline Catheters to Long Peripheral Intravenous Lines in the Emergency Department: A Randomized Controlled Trial,Embase,Comparison of Single-Lumen Midline Catheters to Long Peripheral Intravenous Lines in the Emergency Department: a Randomized Controlled Trial,Cochrane,DOI match: 10.1111/acem.70052
Ultrasound-guided versus anatomic landmark-guided percutaneous femoral artery access,Embase,Ultrasound-guided versus anatomic landmark-guided percutaneous femoral artery access.,PubMed,DOI match: 10.1002/14651858.cd014594.pub2
First-Attempt Success in Ultrasound-Guided vs Standard Peripheral Intravenous Catheter Insertion: The EPIC Superiority Randomized Clinical Trial,Embase,First-Attempt Success in Ultrasound-Guided vs Standard Peripheral Intravenous Catheter Insertion: The EPIC Superiority Randomized Clinical Trial.,PubMed,DOI match: 10.1001/jamapediatrics.2024.5581
Femoral venous access: State of the art and future perspectives,Embase,Femoral venous access: State of the art and future perspectives.,PubMed,DOI match: 10.1177/11297298231209253
Ultrasound evaluation of peripheral intravenous catheter thrombus formation associated with intravenous flucloxacillin administration: A prospective observational pilot study,Embase,Ultrasound evaluation of peripheral intravenous catheter thrombus formation associated with intravenous flucloxacillin administration: A prospective observational pilot study.,PubMed,DOI match: 10.1002/ajum.12414
Long versus conventional peripheral intravenous catheters to reduce venipunctures during hospital stay: A randomized controlled trial,Embase,Long versus conventional peripheral intravenous catheters to reduce venipunctures during hospital stay: A randomized controlled trial.,PubMed,DOI match: 10.1177/11297298251385595
"Comparison of procedural duration among ultrasound-guided IVs, mini-midline catheters, and central venous catheters inserted in the emergency department",Embase,"Comparison of procedural duration among ultrasound-guided IVs, mini-midline catheters, and central venous catheters inserted in the emergency department.",PubMed,DOI match: 10.1177/11297298251395137
Devices for Neonatal Peripheral Catheterization and Tip Confirmation: A Systematic Review and Meta-Analysis,Embase,Devices for Neonatal Peripheral Catheterization and Tip Confirmation: A Systematic Review and Meta-Analysis.,PubMed,DOI match: 10.1159/000549323
Operation STICK Improves Vascular Access Outcomes in a Specialty Team: A Quasi-Experimental Study,Embase,Operation STICK Improves Vascular Access Outcomes in a Specialty Team: A Quasi-Experimental Study.,PubMed,DOI match: 10.1097/ncq.0000000000000801
PICC tip dislodgement causing massive pleural effusion and atelectasis with acute respiratory failure: a case report,Embase,PICC tip dislodgement causing massive pleural effusion and atelectasis with acute respiratory failure: a case report.,PubMed,DOI match: 10.1186/s12887-024-04856-2
Catheters linked thrombosis in neonates: a single center observational study,Embase,Catheters linked thrombosis in neonates: a single center observational study.,PubMed,DOI match: 10.1186/s13052-024-01708-8
"Long guidewire peripheral intravenous catheters in emergency departments for management of difficult intravenous access: A multicenter, pragmatic, randomized controlled trial",Embase,"Long guidewire peripheral intravenous catheters in emergency departments for management of difficult intravenous access: A multicenter, pragmatic, randomized controlled trial.",PubMed,DOI match: 10.1111/acem.15004
The performance and complications of long peripheral venous catheters: A retrospective single-centre study,Embase,The performance and complications of long peripheral venous catheters: A retrospective single-centre study.,PubMed,DOI match: 10.1111/aas.14517
Feasibility and efficacy of real-time ultrasound-guided venous closure with suture-mediated vascular closure device,Embase,Feasibility and efficacy of real-time ultrasound-guided venous closure with suture-mediated vascular closure device.,PubMed,DOI match: 10.1016/j.hrthm.2024.04.041
Cost effectiveness of a vascular access education and training program for hospitalized emergency department patients,Embase,Cost effectiveness of a vascular access education and training program for hospitalized emergency department patients.,PubMed,DOI match: 10.1371/journal.pone.0310676
A PROSPECTIVE STUDY ON ROUTINE ECHOCARDIOGRAPHY BEFORE CVC REMOVAL,Embase,EFFICACY OF PIVC INSERTION USING IMAGING TECHNOLOGY COMPARED TO COMBINED PALPATION AND VISUALIZATION. THE EPIC RANDOMISED CONTROLLED TRIAL,Cochrane,DOI match: 10.1177/11297298241281189
EFFICACY OF PIVC INSERTION USING IMAGING TECHNOLOGY COMPARED TO COMBINED PALPATION AND VISUALIZATION. THE EPIC RANDOMISED CONTROLLED TRIAL.,Embase,EFFICACY OF PIVC INSERTION USING IMAGING TECHNOLOGY COMPARED TO COMBINED PALPATION AND VISUALIZATION. THE EPIC RANDOMISED CONTROLLED TRIAL,Cochrane,DOI match: 10.1177/11297298241281189
"Ultrasound placed long peripheral cannulas, as pain control tool, in pediatric patients with difficult intravenous access (DIVA)",Embase,EFFICACY OF PIVC INSERTION USING IMAGING TECHNOLOGY COMPARED TO COMBINED PALPATION AND VISUALIZATION. THE EPIC RANDOMISED CONTROLLED TRIAL,Cochrane,DOI match: 10.1177/11297298241281189
Development of a machine learning-based risk assessment method using transformer models to enhance ultrasonography utilization in the prevention of peripheral intravenous catheter failure,Embase,EFFICACY OF PIVC INSERTION USING IMAGING TECHNOLOGY COMPARED TO COMBINED PALPATION AND VISUALIZATION. THE EPIC RANDOMISED CONTROLLED TRIAL,Cochrane,DOI match: 10.1177/11297298241281189
Efficacy of PIVC insertion using imaging technology compared to combined palpation and visualization. the EPIC randomised controlled trial,Embase,EFFICACY OF PIVC INSERTION USING IMAGING TECHNOLOGY COMPARED TO COMBINED PALPATION AND VISUALIZATION. THE EPIC RANDOMISED CONTROLLED TRIAL,Cochrane,DOI match: 10.1177/11297298241281189
TIVAD and IC-ECG in children,Embase,EFFICACY OF PIVC INSERTION USING IMAGING TECHNOLOGY COMPARED TO COMBINED PALPATION AND VISUALIZATION. THE EPIC RANDOMISED CONTROLLED TRIAL,Cochrane,DOI match: 10.1177/11297298241281189
LONG PERIPHERAL CATETER in DIVA SCORE CHILDREN AS A VENOUS ACCES ALTERNATIVE: Prospective cohort,Embase,EFFICACY OF PIVC INSERTION USING IMAGING TECHNOLOGY COMPARED TO COMBINED PALPATION AND VISUALIZATION. THE EPIC RANDOMISED CONTROLLED TRIAL,Cochrane,DOI match: 10.1177/11297298241281189
"Ten Fingers, Ten Toes, Two Nurses, One Goal; Expansion of a NICU Vascular Access Program to Improve Care and Reduce Harm",Embase,EFFICACY OF PIVC INSERTION USING IMAGING TECHNOLOGY COMPARED TO COMBINED PALPATION AND VISUALIZATION. THE EPIC RANDOMISED CONTROLLED TRIAL,Cochrane,DOI match: 10.1177/11297298241281189
Clinical practice of introducing and care of vascular access in Anesthesiology and Intensive Care Medicine-a national questionnaire study in the Czech Republic,Embase,EFFICACY OF PIVC INSERTION USING IMAGING TECHNOLOGY COMPARED TO COMBINED PALPATION AND VISUALIZATION. THE EPIC RANDOMISED CONTROLLED TRIAL,Cochrane,DOI match: 10.1177/11297298241281189
Clinical application study of midline catheter in vasopressor therapy,Embase,[Clinical application study of midline catheter in vasopressor therapy].,PubMed,DOI match: 10.3760/cma.j.cn121430-20240326-00286
The safe implementation of peripherally inserted central catheters by nurse practitioners for patients with gastroenterological diseases in Japan: a single-center retrospective study,Embase,The safe implementation of peripherally inserted central catheters by nurse practitioners for patients with gastroenterological diseases in Japan: a single-center retrospective study.,PubMed,DOI match: 10.1007/s00595-023-02748-z
Introducing an ultrasound-guided longer length peripheral IV catheter for patients with difficult venous access,Embase,Introducing an ultrasound-guided longer length peripheral IV catheter for patients with difficult venous access.,PubMed,DOI match: 10.12968/bjon.2024.33.7.s4
10 best practice tips with radial arterial catheterization,Embase,10 best practice tips with radial arterial catheterization.,PubMed,DOI match: 10.1177/11297298221101243
Predictors of ultrasound-guided peripheral intravenous catheter failure: A secondary analysis of existing trial data,Embase,Predictors of ultrasound-guided peripheral intravenous catheter failure: A secondary analysis of existing trial data.,PubMed,DOI match: 10.1177/11297298221122118
Complications of Pediatric Midline Catheters: A Prospective Observational Pilot Study,Embase,Complications of Pediatric Midline Catheters: A Prospective Observational Pilot Study.,PubMed,DOI match: 10.1213/ane.0000000000006328
"Ultrasound-guided Peripheral Intravenous Catheter Placement in an Oncologic Emergency Department - a Prospective, Randomized Controlled Trial of Catheter Lengths",Embase,"Ultrasound-guided Peripheral Intravenous Catheter Placement in an Oncologic Emergency Department - a Prospective, Randomized Controlled Trial of Catheter Lengths",Cochrane,Title similarity (1.00): 'Ultrasound-guided Peripheral Intravenous Catheter Placement ...'
"Investigative study of hemodilution ratio: 4Vs for vein diameter, valve, velocity, and volumetric blood flow as factors for optimal forearm vein selection for intravenous infusion",Embase,"Investigative study of hemodilution ratio: 4Vs for vein diameter, valve, velocity, and volumetric blood flow as factors for optimal forearm vein selection for intravenous infusion.",PubMed,DOI match: 10.1177/11297298221095287
“Safe Femoral” Artery Approach in Endovascular Procedures: A Systematic Review of Its Safety and Feasibility,Embase,"""Safe Femoral"" Artery Approach in Endovascular Procedures: A Systematic Review of Its Safety and Feasibility.",PubMed,DOI match: 10.1016/j.cpcardiol.2023.102114
Implementation of a midline catheter service in a regional setting,Embase,Implementation of a midline catheter service in a regional setting.,PubMed,Title similarity (1.00): 'Implementation of a midline catheter service in a regional s...'
Evaluating the Role of the Guidewire in Peripheral Intravenous Access: a Randomized Controlled Trial of Ultrasound-Guided Catheter Survival,Embase,Evaluating the Role of the Guidewire in Peripheral Intravenous Access: a Randomized Controlled Trial of Ultrasound-Guided Catheter Survival,Cochrane,Title similarity (1.00): 'Evaluating the Role of the Guidewire in Peripheral Intraveno...'
A multicenter retrospective study on 4480 implanted PICC-ports: A GAVeCeLT project,Embase,A multicenter retrospective study on 4480 implanted PICC-ports: A GAVeCeLT project.,PubMed,DOI match: 10.1177/11297298211067683
Ultrasound-guided pacemaker implantation at the bedside: A lifesaving technique for cardiac emergencies,Embase,Ultrasound-guided pacemaker implantation at the bedside: A lifesaving technique for cardiac emergencies.,PubMed,DOI match: 10.1111/anec.13071
Evaluation of extended-length cannula inserted using ultrasound guidance in patients with difficult IV access,Embase,Evaluation of extended-length cannula inserted using ultrasound guidance in patients with difficult IV access.,PubMed,DOI match: 10.12968/bjon.2023.32.14.s14
Ultrasound-guided PIVC insertion: a randomised controlled trial protocol,Embase,Ultrasound-guided PIVC insertion: a randomised controlled trial protocol.,PubMed,DOI match: 10.12968/bjon.2023.32.14.s22
Performance of peripheral catheters inserted with ultrasound guidance versus landmark technique after a simulation-based mastery learning intervention,Embase,Performance of peripheral catheters inserted with ultrasound guidance versus landmark technique after a simulation-based mastery learning intervention.,PubMed,DOI match: 10.1177/11297298211044363
Ultrasound-guided access to the axillary vein for implantation of cardiac implantable electronic devices: A systematic review and meta-analysis,Embase,Ultrasound-guided access to the axillary vein for implantation of cardiac implantable electronic devices: A systematic review and meta-analysis.,PubMed,DOI match: 10.1177/11297298211054621
Assessing the utility of ultrasound-guided vascular access placement with longer catheters in critically ill pediatric patients,Embase,Assessing the utility of ultrasound-guided vascular access placement with longer catheters in critically ill pediatric patients.,PubMed,DOI match: 10.1111/pan.14645
Secondary malposition of a PICC-port due to heavy physical exercise: A case report,Embase,Secondary malposition of a PICC-port due to heavy physical exercise: A case report.,PubMed,DOI match: 10.1177/11297298211039445
"Educating health professionals in ultrasound guided peripheral intravenous cannulation: A systematic review of teaching methods, competence assessment, and patient outcomes",Embase,"Educating health professionals in ultrasound guided peripheral intravenous cannulation: A systematic review of teaching methods, competence assessment, and patient outcomes.",PubMed,DOI match: 10.1097/md.0000000000033624
Sensing Technologies for Extravasation Detection: A Review,Embase,Sensing Technologies for Extravasation Detection: A Review.,PubMed,DOI match: 10.1021/acssensors.2c02602
Effectiveness of ultrasonography for peripheral catheter insertion and catheter failure prevention in visible and palpable veins,Embase,Effectiveness of ultrasonography for peripheral catheter insertion and catheter failure prevention in visible and palpable veins.,PubMed,DOI match: 10.1177/11297298211022078
Ultrasound assessment of peripheral intravenous catheters by nurses in the pediatric intensive care unit,Embase,Ultrasound assessment of peripheral intravenous catheters by nurses in the pediatric intensive care unit.,PubMed,DOI match: 10.1177/11297298211024805
Outcomes of ultrasound guided peripheral intravenous catheters placed in the emergency department and factors associated with survival,Embase,Outcomes of Ultrasound Guided Peripheral Intravenous Catheters Placed in the Emergency Department and Factors Associated with Survival.,PubMed,DOI match: 10.2147/oaem.s405692
INTRODUCING A LONGER-LENGTH PIVC TO SUPPORT IMPROVED OUTCOMESFOR DIFFICULT INTRAVENOUS ACCESS (DIVA) PATIENTS,Embase,TALKING ABOUT COST-EFFECTIVENESS AND QUALITY IN THE CARE OF PATIENTS WITH PERIPHERAL VENOUS ACCESS: PIVC VS MINI-MIDLINE,Embase,DOI match: 10.1177/11297298221129234
EXPERIENCE WITH LONG PERIPHERAL CATHETERS,Embase,TALKING ABOUT COST-EFFECTIVENESS AND QUALITY IN THE CARE OF PATIENTS WITH PERIPHERAL VENOUS ACCESS: PIVC VS MINI-MIDLINE,Embase,DOI match: 10.1177/11297298221129234
"SAVING THE WORLD, ONE PATIENT AT A TIME, BY DOING THE RIGHT THING FIRST",Embase,TALKING ABOUT COST-EFFECTIVENESS AND QUALITY IN THE CARE OF PATIENTS WITH PERIPHERAL VENOUS ACCESS: PIVC VS MINI-MIDLINE,Embase,DOI match: 10.1177/11297298221129234
A PILOT FEASIBILITY STUDY ON THE USE OF DIALKYLCARBAMOYLCHLORIDE DRESSING (DACCD) FOR THE PREVENTION OF EXIT SITE INFECTION IN A PEDIATRIC POPULATION,Embase,TALKING ABOUT COST-EFFECTIVENESS AND QUALITY IN THE CARE OF PATIENTS WITH PERIPHERAL VENOUS ACCESS: PIVC VS MINI-MIDLINE,Embase,DOI match: 10.1177/11297298221129234
ULTRASOUND-GUIDED INSERTION OF THE LONG PERIPHERAL CANNULA IN CHILDREN WITH DIVA,Embase,TALKING ABOUT COST-EFFECTIVENESS AND QUALITY IN THE CARE OF PATIENTS WITH PERIPHERAL VENOUS ACCESS: PIVC VS MINI-MIDLINE,Embase,DOI match: 10.1177/11297298221129234
A prospective sonographic evaluation of peripheral intravenous catheter associated thrombophlebitis,Embase,A prospective sonographic evaluation of peripheral intravenous catheter associated thrombophlebitis.,PubMed,DOI match: 10.1177/11297298211009019
Factors associated with intraoperative intravenous catheter extravasation in children,Embase,Factors associated with intraoperative intravenous catheter extravasation in children.,PubMed,DOI match: 10.1177/0310057x211062614
Development and Implementation of an Ultrasound-Guided Peripheral Intravenous Catheter Education Program for Critical Care Nurses,Embase,Development and Implementation of an Ultrasound-Guided Peripheral Intravenous Catheter Education Program for Critical Care Nurses.,PubMed,DOI match: 10.1097/dcc.0000000000000528
Automatic vein measurement by ultrasonography to prevent peripheral intravenous catheter failure for clinical practice using artificial intelligence: development and evaluation study of an automatic detection method based on deep learning,Embase,Automatic vein measurement by ultrasonography to prevent peripheral intravenous catheter failure for clinical practice using artificial intelligence: development and evaluation study of an automatic detection method based on deep learning.,PubMed,DOI match: 10.1136/bmjopen-2021-051466
Comparison of Ultrasound Guided and Conventional Techniques for Peripheral Venous Catheter Insertion in Pediatric Patients: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,Embase,Comparison of Ultrasound Guided and Conventional Techniques for Peripheral Venous Catheter Insertion in Pediatric Patients: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,PubMed,DOI match: 10.3389/fped.2021.797705
Ultrasound-Guided Great Saphenous Vein Access: Revisiting an Old Friend in a New Location,Embase,Ultrasound-Guided Great Saphenous Vein Access: Revisiting an Old Friend in a New Location.,PubMed,DOI match: 10.1016/j.jemermed.2021.10.006
Correlation between visual inspection/physical exam and point-of-care ultrasound exam in the evaluation of neonatal peripheral intravenous catheter site,Embase,Correlation between visual inspection/physical exam and point-of-care ultrasound exam in the evaluation of neonatal peripheral intravenous catheter site.,PubMed,DOI match: 10.1080/14767058.2021.1988564
Vesicant infusates are not associated with ultrasound-guided peripheral intravenous catheter failure: A secondary analysis of existing data,Embase,Vesicant infusates are not associated with ultrasound-guided peripheral intravenous catheter failure: A secondary analysis of existing data.,PubMed,DOI match: 10.1371/journal.pone.0262793
Safety verification of a new peripheral intravenous catheter placed in the upper arm vein for administration of drugs with high irritant potential,Embase,Safety verification of a new peripheral intravenous catheter placed in the upper arm vein for administration of drugs with high irritant potential.,PubMed,DOI match: 10.5582/ddt.2022.01034
Precordial Doppler to assess vascular access in children: A preliminary report,Embase,Precordial Doppler to assess vascular access in children: A preliminary report.,PubMed,DOI match: 10.1111/ped.15164
A CLINICAL CASE OF ARTERIAL THROMBOSIS IN A PREMATURE BOY WITH NEONATAL SEPSIS AND HIGH RECTAL ATRESIA,Embase,A CLINICAL CASE OF ARTERIAL THROMBOSIS IN A PREMATURE BOY WITH NEONATAL SEPSIS AND HIGH RECTAL ATRESIA.,PubMed,PMID match: 35522885
Mechanical-chemical ablation (MOCA) of the saphenous vein with the ClariVein (®) catheter. first experience in paraguay at the paraguayan center for varices (cepava). report of First three cases,Embase,"Endovenous Laser Ablation 1940 nm, First 1000 Cases",Embase,DOI match: 10.1177/02683555221110363
Total thermal ablation for the treatment of varicose veins,Embase,"Endovenous Laser Ablation 1940 nm, First 1000 Cases",Embase,DOI match: 10.1177/02683555221110363
Peripheral Venous Pressure-Guided Decongestive Therapy in Heart Failure,Embase,Peripheral Venous Pressure-Guided Decongestive Therapy in Heart Failure 2,Embase,Title similarity (0.89): 'Peripheral Venous Pressure-Guided Decongestive Therapy in He...'
Techniques and Technologies to Improve Peripheral Intravenous Catheter Outcomes in Pediatric Patients: Systematic Review and Meta-Analysis,Embase,Techniques and Technologies to Improve Peripheral Intravenous Catheter Outcomes in Pediatric Patients: Systematic Review and Meta-Analysis.,PubMed,DOI match: 10.12788/jhm.3718
Applicability of precordial Doppler ultrasound to confirm the correct placement of peripheral intravenous access in children,Embase,Applicability of precordial Doppler ultrasound to confirm the correct placement of peripheral intravenous access in children.,PubMed,DOI match: 10.1016/j.jclinane.2021.110434
