key,title,year,authors,reviewer1_decision,ai_decision,ai_reason,agreement
rayyan-486160160,Long versus conventional peripheral intravenous catheters to reduce venipunctures during hospital stay: A randomized controlled trial.,,Binda F and Galazzi A and Marelli F and Salinaro G and de Vecchi M and Spagna S ,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160161,Role of ultrasound imaging of subclavian vein to confirm correct placement of the peripheral intravenous cannula to avoid extravasation in an edematou,,Babu MSS and Gadhinglajkar SV and Gayathri G and Brahmam D,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160162,Devices for Neonatal Peripheral Catheterization and Tip Confirmation: A Systematic Review and Meta-Analysis.,,Shcherbatiuk K and Magagnoli C and Susca F and Caratozzolo D and Fiander M and S,EXCLUDE,EXCLUDE,Systematic review/meta-analysis,AGREE
rayyan-486160163,Feasibility of Bedside Ultrasound-Guided Peripherally Inserted Central Catheter Placement in Cancer Patients in Palliative Care: A Single-Center Retro,,Kim HR and Lee J and Kim JY and Kim HS,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160164,Recent Advances in Ultrasound-Guided Peripheral Intravenous Catheter Insertion.,,Bruant A and Normand L,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160165,Comparison of the safety and efficacy of EDUG-guided tunnelled PICC versus traditional PICC in patients with cancer: A retrospective study.,,Zeng J and Zhang Y and Xu H,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160166,A retrospective cohort study on the use of ultrasound in establishing peripheral intravenous access in emergency patients with difficult veins.,,Yuan M and Liu Y and Tang L and Zhang W,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160167,Long-Term Follow-Up of Patients Undergoing Radial Artery Recanalization via Distal Transradial Access.,,Zhou T and Fan X and Huang H and Li L and Chen T and Li F and Shi G and Cai G,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160168,Subcutaneous Nitroglycerin to Prevent Radial Artery Occlusion in Pediatric Patients: A Randomized Clinical Trial.,,Park JB and Ji SH and Kim EH and Lee JH and Kim HS and Kim JT and Jang YE,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160169,Stiffness Parameters of the Radial Artery in Patients Undergoing Distal Transradial Coronary Angiography: A Duplex Ultrasonography Investigation.,,Soydan E and Akin M,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160170,Insertion-related complications after central venous catheterization in onco-hematologic children: A prospective clinical study.,,Annetta MG and Mensi S and Morena TC and Tosi F and Celentano D and Piervincenzi,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160171,"Upper Extremity Vascular Access: Challenges, Controversies, and Clarifications.",,Ibrahim K and Han J and Kirtane A and Shroff A,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160172,Complications of Radial Access.,,Abu-Much A and Restrepo VJ and Prasad M and Shah B,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160173,Brachial Plexus Block Reduces Pain Scores During Peripherally Inserted Central Catheter Placement in Neonates and Pediatric Patients Compared to Local,,Sakai W and Chaki T and Murouchi T and Ichisaka Y and Nawa Y and Nawa T and Yama,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160174,"Distal Radial Artery Access With 6F and 7F Thin-Walled Sheaths for Coronary Intervention: A Multicentre, Randomized, DRAWS Trial Protocol.",,Liu M and Du Y and Cui C and Li C and Yu W and Wang H and Song Y and Gao Z and S,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160175,Optimal catheter-to-vein ratios to prevent peripheral venous catheter failure: a single-centre prospective cohort study.,,Marsh N and Larsen EN and O'Brien C and Young ER and Peach H and Corley A and Ul,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160176,Incidence of fibroblastic sleeve in midline catheters: A pilot study in a non-intensive medical department.,,Passaro G and Ortolani E and Landolfi E and Puzio G and Zazzara MB and Imperoli ,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160177,Ultrasonography-Observed Subcutaneous Edema Immediately After Peripheral Intravenous Catheter Placement Is a Factor in Subsequent Catheter Failure.,,Takahashi T and Nakagami G and Murayama R and Abe M and Sanada H,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160178,Effect of Combination of Subcutaneous Lidocaine With Two Different Doses of Nitroglycerin Versus Subcutaneous Lidocaine Alone for Ultrasound-guided Ra,,Singh S and Kumar R and Sahay N and Naaz S,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160179,Sex-Based Outcomes with Catheter-Directed and Ultrasound-Assisted Thrombolysis for Acute Limb Ischemia.,,Nguyen T and Dargan C and Penuela M and Shames M and Bailey CJ,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160180,Feasibility and safety analysis of distal radial arterial catheterization for arterial pressure monitoring in ICU.,,Wang J and Zhang J and Zhang Y and Liu X and Bai C and Yu R and Zhang C and Qiu ,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160181,The important role of preoperative ultrasound in the efficacy and safety of coronary intervention via distal transradial access.,,Chen T and Li L and Yang A and Fan X and Shi G and Li F and Cai G,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160182,Arteriovenous fistula after distal transradial access: A case report and literature review.,,Fan X and Chen T and Li F and Shi G and Song R and Cai G,EXCLUDE,EXCLUDE,Non-eligible publication type,AGREE
rayyan-486160183,Puncture site versus exit site in central venous access procedures: Still a source of confusion.,,Annetta MG and Spencer TR and Pittiruti M,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160184,The use of paramedics to establish an in-hospital ultrasound-guided peripheral intravenous access program.,,Wasiak D and Snell EW and Gaither JB and Demant M and Bradley G and Acuna J,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160185,Standardised procedure for pacemaker axillary vein puncture.,,Ji B and Mao Y and Liu XB and Sun B and Xie Y,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160186,Ultrasound-guided versus anatomic landmark-guided percutaneous femoral artery access.,,Strauss SA and Ma GW and Seo C and Siracuse JJ and Madassery S and Truesdell AG ,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160187,Local nitroglycerin to facilitate radial arterial catheterization in adults: a systematic review and meta-analysis.,,Rao U and Phillips T and Rao S,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160188,Upper Arm Versus Forearm Placement of Long Peripheral Catheters for Blood Sampling: A Randomized Controlled Trial.,,Bahl A and Drogowski M and Gutta A and Lehman C and Younes E and DiLoreto E and ,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160189,Efficacy and success rate of Distal Radial Artery Access at the Anatomical Snuffbox for Coronary Intervention at Central Chest Institute of Thailand.,,Thongplung K and Kanaderm C and Witayanan JN and Kanoksilp A and Chantadansuwan ,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160190,The relationship between radial artery stenosis and whole blood viscosity after transradial coronary angiography.,,Ozkan C and Kanal Y and Bekircavusoglu AF and Yildirim A,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160191,Ultrasound-Guided Long Peripheral Catheters for Venous Access in the Intensive Care Unit: A Descriptive Study.,,Sam AF and Shankar S and Nandakumar K and Kumar AA,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160192,Midline catheter insertion as a strategic component of intravenous infusion: A single-centre retrospective analysis.,,Cichowlas G and Fornal I and Latos M and Kosson D,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160193,Effectiveness and Safety of Methods to Prevent Bloodstream and Other Infections and Noninfectious Complications Associated With Peripherally Inserted ,,Dobrescu A and Constantin AM and Pinte L and Chapman A and Ratajczak P and Kleri,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160194,Ultrasound evaluation of peripheral intravenous catheter thrombus formation associated with intravenous flucloxacillin administration: A prospective o,,Bulmer AC and Nightingale R and Hewage W and Keijzers G and Snelling PJ,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160195,First-Attempt Success in Ultrasound-Guided vs Standard Peripheral Intravenous Catheter Insertion: The EPIC Superiority Randomized Clinical Trial.,,Kleidon TM and Schults JA and Royle RH and Gibson V and Ware RS and Andresen E a,INCLUDE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486160196,Anticipating impending peripheral intravenous catheter failure: A diagnostic accuracy observational study combining ultrasound and artificial intellig,,Bahl A and Johnson S and Mielke N and Blaivas M and Blaivas L,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160197,Ultra-low contrast strategy for routine coronary procedures via distal transradial access: real-world experience with consecutive all-comers patients ,,Oliveira MD and Caixeta A,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160198,Comparing arterial catheterisation by palpation or ultrasound guidance by novice nurses in an adult intensive care unit: A prospective cohort study.,,Leon M and Marco DN and Cubedo M and Gonzalez C and Guirao A and Canueto MDC and,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160199,"Traditional Versus Distal Radial Access for Coronary Diagnostic and Revascularization Procedures: Final Results of the TENDERA Multicenter, Randomized",,Babunashvili AM and Pancholy S and Zulkarnaev AB and Kaledin AL and Kochanov IN ,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160200,Intravascular Ultrasound Assessment of Distal Trans-Radial Access in Patients Undergoing Percutaneous Coronary Intervention.,,Poletti E and Colletti G and Zivelonghi C and Benedetti A and Moroni A and El Ja,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160201,Cost effectiveness of a vascular access education and training program for hospitalized emergency department patients.,,Bahl A and Xing Y and Gibson SM and DiLoreto E,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160202,"Comparison of peripheral cannula outcomes, ultrasound-guided placement of deep veins versus blind insertion of superficial veins in children aged 0-18",,Refosco M and Mazza A and Divisic A and Binotto D and Zamberlan S and Schiavon B,INCLUDE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486160203,Risk factors of difficult intravenous access and catheter failure in the urology ward: A prospective observational study.,,Abe M and Tanaka K and Minoru M and Kume H and Nakagami G,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160204,"Long guidewire peripheral intravenous catheters in emergency departments for management of difficult intravenous access: A multicenter, pragmatic, ran",,Xu HG and Corley A and Young ER and Doubrovsky A and Ware RS and Afoakwah C and ,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160205,[Clinical application study of midline catheter in vasopressor therapy].,,Guo R and Wu J and Ren X and Guo C,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160206,Popliteal access for iliofemoral occlusive disease in the office-based catheter laboratory.,,Shennib H and Teribery E and Evans A and Huerta V,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160207,The performance and complications of long peripheral venous catheters: A retrospective single-centre study.,,Krath J and Fredskilde J and Christensen SK and Baltsen CD and Valentin K and Of,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160208,Operation STICK Improves Vascular Access Outcomes in a Specialty Team: A Quasi-Experimental Study.,,Gibson SM and Sarlabous J and Adair L and Bahl A,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160209,Ultrasound-guided modified dynamic needle tip positioning technique for distal radial artery catheterization: A randomized controlled trial.,,Liang Y and Liu P and Wei C and Li W and Li C and Lai T and Peng S and Xu J and ,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160210,Catheters linked thrombosis in neonates: a single center observational study.,,Farag MM and Ghazal HAER and Radwan MM and El-Sayed NS,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160211,Hemodynamic monitoring and echocardiographic evaluation in cardiogenic shock.,,Ochagavia A and Palomo-Lopez N and Fraile V and Zapata L,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160212,Ultrasound assessment of short peripheral catheter failure.,,Giustivi D and Celano R and Cattalani M and Camilli C and Trombetta L and Facchi,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160213,Serial dilation to enable ulnar artery access for endovascular neurointervention: Technical report and systematic review of the literature.,,Brandel MG and McCann CP and Tucker B and Wali AR and Steinberg JA and Santiago-,EXCLUDE,EXCLUDE,Systematic review/meta-analysis,AGREE
rayyan-486160214,Superficial temporal artery access for transfemoral or transbrachial carotid artery stenting in selected patients considered unfit for carotid surgery,,Myrcha P and Taranta I and Hendiger W and Rocha-Neves J and Paraskevas KI and Gl,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160215,PICC tip dislodgement causing massive pleural effusion and atelectasis with acute respiratory failure: a case report.,,Zhu Y and Qin Y and Alvarez JF and Yin W,EXCLUDE,EXCLUDE,Non-eligible publication type,AGREE
rayyan-486160216,Prevention of complications related to peripherally inserted central catheter insertion techniques in newborns: systematic review and network meta-ana,,Beleza LO and Brasil GDC and Margatho AS and Vasques CI and Silveira RCCP and Ro,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160217,A latent bleeding complication in ipsilateral common femoral puncture involving delayed diagnosis: a case report.,,Nomura T and Yoshida S and Kitamura M and Ono K and Shoji K and Kato Y and Wada ,EXCLUDE,EXCLUDE,Non-eligible publication type,AGREE
rayyan-486160218,Subcutaneous edema as a potential cause of catheter failure in older inpatients receiving peripheral parenteral nutrition.,,Kitada M and Yamamura S and Hori E,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160219,Required volume for color flow injection test to confirm the intravascular placement of a peripheral venous catheter.,,Kamata M,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160220,Ultrasound-guided Axillary Artery Catheter Placement and Associated Complications in Critically Ill Patients.,,Cardona S and Gross AS and Yu AT and Bassily-Marcus A and Oropello J and Manasia,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160221,Poland's first vascular access team 3-year analysis: Insights and learnings.,,Latos M and Kosson D and Zawadka M,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160222,Overview of the distal radial access from the radial artery occlusion perspective.,,Korotkikh AV and Kashtanov MG,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160223,"Totally implanted central venous access devices inserted by the femoral route: A narrative review and the proposal of a novel approach, the FICC-port.",,Annetta MG and Marche B and Ortiz Miluy G and Pittiruti M,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160224,Introducing an ultrasound-guided longer length peripheral IV catheter for patients with difficult venous access.,,Godfrey J and Gallipoli L,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160225,"Perioperative arterial catheterization: A prospective evaluation of ultrasound, infection, and patient-focused outcomes.",,Eley V and Peters N and Woods C and Llewellyn S and Derboghossian T and Ogg M an,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160226,The SIECC protocol: A novel insertion bundle to minimize the complications related to epicutaneo-cava catheters in neonates.,,D'Andrea V and Pittiruti M and Prontera G and Vento G and Barone G,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160227,Feasibility and efficacy of real-time ultrasound-guided venous closure with suture-mediated vascular closure device.,,Tachi M and Tanaka A and Teraoka T and Furuta T and Matsushita E and Hayashi K a,EXCLUDE,INCLUDE,USG vs landmark PIVC with post-insertion outcomes,DISAGREE
rayyan-486160228,Systematic application of SICA-PED protocol for central venous catheterization in neonates: A prospective clinical study on 104 cases.,,Spagnuolo F and Maietta A and Pugliese U and Lettieri E and Minopoli F and Coppo,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160229,Real-time ultrasound-guided hemostasis using suture-mediated closure device.,,Kwak J and Bum Cho S,EXCLUDE,EXCLUDE,Not about PIVC,AGREE
rayyan-486160230,Prospective evaluation of efficacy and safety of distal radial and radial artery access using a novel articulating-tip guidewire.,,Tal MG and Covey A and Qaqish S and Livne R and Klass D,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160231,Ultrasound guidance practices used for the placement of vascular accesses in intensive care units: an observational multicentre study.,,van der Mee-Marquet N and Valentin AS and Duflot I and Farizon M and Petiteau A,EXCLUDE,EXCLUDE,Not about PIVC,AGREE
rayyan-486160232,Femoral venous access: State of the art and future perspectives.,,Annetta MG and Elli S and Marche B and Pinelli F and Pittiruti M,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160233,Incidence of Distal Radial Artery Occlusion and its Influencing Factors After Cardiovascular Intervention Via the Distal Transradial Access.,,Chen T and Li L and Yang A and Huang H and Shi G and Li F and Li W and Lu W and ,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160234,Foundation for implementing a comprehensive vascular access excellence initiative organization-wide to improve vascular access device insertion and st,,Campos C and Lopez M and Irwin-Nieto V and Richards R and Deen MR and Lalata A,EXCLUDE,EXCLUDE,Single-arm study (no landmark comparator),AGREE
rayyan-486160235,Radial artery patency outcomes with saline flushing of the radial sheath after coronary intervention: A prospective cohort study.,,Habib A and Abbasi W and Haq AU and Kiani SS and Kumar Rathi P and Sheikh S and ,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160236,"""Safe Femoral"" Artery Approach in Endovascular Procedures: A Systematic Review of Its Safety and Feasibility.",,Sanguettoli F and Pavasini R and Nobile G and Pricoco F and Tasneem S and Biscag,EXCLUDE,EXCLUDE,Systematic review/meta-analysis,AGREE
rayyan-486160237,The safe implementation of peripherally inserted central catheters by nurse practitioners for patients with gastroenterological diseases in Japan: a s,,Takematsu Y and Shibasaki S and Tanaka T and Hiro J and Takahara T and Matsuoka ,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160238,[Application of Midline Catheter Placed Under Ultrasound Guidance in Intravenous Therapy for Oral and Maxillofacial Tumor].,,Huang Q and Wu W and He X and Deng Y and Chen Y and Gu W,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160239,Evaluation of extended-length cannula inserted using ultrasound guidance in patients with difficult IV access.,,Smith E and Irimia V,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160240,Ultrasound-guided PIVC insertion: a randomised controlled trial protocol.,,Kleidon TM and Schults J and Rickard C and Ullman AJ,INCLUDE,EXCLUDE,Protocol without results,DISAGREE
rayyan-486160241,Ultrasound-guided pacemaker implantation at the bedside: A lifesaving technique for cardiac emergencies.,,Xu RQ and Huang XF and Guo PQ and Cai HB and Feng SD and Lin ZH,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160242,The selection of the suitable long peripheral catheter in DIVA patients: The significance of ultrasonography.,,Lisova K and Pavelkova K and Simkova P and Mokra D and Palova S and Charvat J,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160243,Securement of Umbilical Venous Catheter Using Cyanoacrylate Glue: A Randomized Controlled Trial.,,D'Andrea V and Prontera G and Pinna G and Cota F and Fattore S and Costa S and M,EXCLUDE,EXCLUDE,Not about PIVC,AGREE
rayyan-486160244,Outcomes of Ultrasound Guided Peripheral Intravenous Catheters Placed in the Emergency Department and Factors Associated with Survival.,,Malik A and Dewald O and Gallien J and Favot M and Kasten A and Reed B and Wells,INCLUDE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486160245,Frequency and Predictors of Acute and Persistent Femoral Artery Occlusion in Infants with Congenital Heart Disease: A Study Using Ultrasonography for ,,Gokdemir M and Cindik N,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160246,Complicated Acute Pericarditis and Peripheral Venous Catheter-Related Bloodstream Infection Caused by Methicillin-Resistant Staphylococcus aureus afte,,Ochi F and Tauchi H and Miura H and Moritani T and Chisaka T and Higaki T and Eg,EXCLUDE,EXCLUDE,Non-eligible publication type,AGREE
rayyan-486160247,Complications associated with the use of peripherally inserted central catheters and midline catheters in COVID-19 patients: An observational prospect,,Frondizi F and Dolcetti L and Pittiruti M and Calabrese M and Fantoni M and Bias,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160248,"Educating health professionals in ultrasound guided peripheral intravenous cannulation: A systematic review of teaching methods, competence assessment",,Hoskins MJ and Nolan BC and Evans KL and Phillips B,EXCLUDE,EXCLUDE,Systematic review/meta-analysis,AGREE
rayyan-486160249,Novel cannulation strategy with a bidirectional cannula for distal limb perfusion during peripheral veno-arterial extracorporeal life support: A preli,,Simons J and Doddema AR and Korver EP and di Mauro M and Agricola S and Smets J ,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160250,Implementation of a midline catheter service in a regional setting.,,Jones P,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160251,Complications and Practice Variation in the Use of Peripherally Inserted Central Venous Catheters in People With Cystic Fibrosis: The Prospective Stud,,Gifford AH and Hinton AC and Jia S and Nasr SZ and Mermis JD and Lahiri T and Ze,EXCLUDE,EXCLUDE,Non-PIVC device (PICC/CVC/midline/arterial),AGREE
rayyan-486160252,Sensing Technologies for Extravasation Detection: A Review.,,Hirata I and Mazzotta A and Makvandi P and Cesini I and Brioschi C and Ferraris ,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160253,Customizing foam sclerotherapy of the great saphenous vein: A proposed algorithm to enhance technical efficacy.,,Georgakarakos E and Dimitriadis K and Tasopoulou KM and Doukas D and Argyriou C ,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160254,Well-palpable pulse over an occluded radial artery: A case series reporting ultrasound outcomes.,,Lewandowski P and Zuk A and Budaj A,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
rayyan-486160255,Assessing the utility of ultrasound-guided vascular access placement with longer catheters in critically ill pediatric patients.,,Dachepally R and Garcia AD and Liu W and Flechler C and Hanna WJ,INCLUDE,EXCLUDE,No ultrasound guidance mentioned,DISAGREE
rayyan-486160256,Complications of Pediatric Midline Catheters: A Prospective Observational Pilot Study.,,Ostlund A and Flaring U and Norberg A and Kaiser S and Frisk T and Larsson P and,EXCLUDE,EXCLUDE,No ultrasound guidance mentioned,AGREE
